Reason,Count
1094_2015_item7,1
address faster growing market segments,1
be more responsive to customers’ demands,4
better align our business to the changing computing landscape,2
better align our cost structure with the slower economy,4
better align resources around our priorities and business outlook,4
conduct a workforce rebalancing,1
continued slowdown in the semiconductor industry,4
create a more efficient corporate structure,1
current macro-economic conditions,3
decline in revenues,4
effects of inflation and competitive pricing pressures.,5
eliminating discretionary spending,3
enhance operations in low cost labor markets,3
enhance our competitiveness in core growth areas,2
exiting or restructuring several underperforming contracts,3
facility consolidations,3
favorable impact of litigation-related proceeds,2
further optimizing our cost structure in Europe,2
higher transaction and integration-related costs,2
implement a more competitive cost structure,1
improve cost competitiveness and profitability,6
improve efficiencies,14
improve operating efficiencies,2
improve our cost structure,2
improve our operating cost structure,3
increase operational flexibility,1
invest in new products and improvements to the production processes,1
leverage economies of scale,12
liquidation procedures,1
logistics operations,3
lower operating margins,1
maintain sufficient liquidity,8
"manage its operations, assess performance and report earnings",3
manage our expenses,8
meet our commitments,8
minimize our customers’ inventory financing costs,2
non-cash and non-recurring charges to income,1
organic growth,7
position ourselves for profitable growth,4
position ourselves to take advantage of new opportunities in high-growth adjacent markets,3
position us for profitable growth,1
productivity improvements,5
realign our cost structure,8
realigning its business portfolio into six reporting segments,3
recognized by the worldwide generic pharmaceutical industry,8
reduce costs,18
reduce our healthcare costs for current retirees,5
"Reduced selling prices, low production levels",1
reorganize certain of its European operations,1
"restructure, accelerate and transform AMD",2
retain the majority of AUL's customers,1
significant increases in the price of jet fuel,5
simplify our business,4
slow-down in the rate of growth in demand for their products,2
streamline manufacturing,3
streamline operations,14
strengthen our competitive positioning,1
voluntary early retirement program,2
weak customer demand associated with the downturn in the semiconductor industry,1
