Reason,Count
achieve a diversified mix of investments,1
achieve greater operating efficiencies in its Diagnostics and International segments,1
"Achieving sales growth, technological excellence and manufacturing capability",1
Adjust to economic slowdown and credit crisis,2
advancing our emerging industrial water treatment position,1
Align costs with the anticipated lower levels of demand,1
align global manufacturing operations with scientific focus,1
align its businesses into two segments,1
align its manufacturing network for COVID-19 diagnostic tests with changes,1
align its manufacturing network for COVID-19 diagnostic tests with changes in the second quarter in projected testing demand driven by several factors,1
align ongoing network restoration with the continued return of demand,1
align our cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,1
alignment of our real estate footprint with the reduced headcount,1
and the formation and integration of new business units,1
Be a Good Place for Good People,1
better align business to the changing computing landscape,1
better align our cost structure with the slower economy,1
better align resources around priorities and business outlook,2
Building customer relationships with multiple international commercial and government customers,1
changes to our practices and contracts with providers of distribution systems to provide additional content flexibility,1
co-development and in-licensing and expanding the geographic reach of its current product line with new registrations in new jurisdictions,1
Commercial market recovery,1
commercial practices related to ticket distribution channels,1
conduct a workforce rebalancing to better address faster growing market segments,1
consolidation of existing manufacturing activity,1
consolidation of three U.S. regions into two regions in order to continue to centralize and streamline operational structure,1
continue to seek business growth in product areas and geographies,1
"continued significant investments related to modernizing our fleet, improving the experience of our customers and updating our facilities",1
continued slowdown in the semiconductor industry and a resulting decline in revenues,1
continued to create shareholder value,1
cost improvement actions despite weakness in the worldwide economy and currency headwinds,1
Cost structure reductions through improved operational efficiencies and economies of scale to compete effectively in a more cost-conscious marketplace,1
COVID-19 pandemic,1
create a more sustainable supply-demand balance in the market,1
decreasing expenditures,1
demand for most merchant products returned to pre-pandemic levels,1
"deploy capital into larger, more complex industrial gas projects",1
deploy resources to solidify the Company's position as a leader in the recovering citrus industry,2
develop and acquire media assets that enable us to offer advertisers a choice of media outlets,1
"Develop key global roles to oversee business development, supply chain, scientific affairs and compliance",1
devote resources to develop advanced manufacturing process technologies,1
Divide U.S. Human Pharmaceuticals into two separate operational units,1
downsizing of activities,1
"drive to a sustainable, low-cost structure",1
Driving free cash flow through increased net income,1
Earn Customer Loyalty,1
earnings growth through pricing discipline in our merchant business,1
eliminating unprofitable and non-strategic businesses,1
elimination or reduction of certain corporate-level costs,1
enhancements to our AAdvantage program,1
enhancing manufacturing materials and efficiencies and expanding into lower cost areas,1
enhancing shipment yields through rate and fee initiatives,1
execute our growth strategy,1
"executing three-phase transformation plan designed to restructure, accelerate and transform AMD",1
"expand our network has been to initiate or expand our commercial relationships with other airlines, such as by entering into global alliance, joint business and codeshare relationships",1
expanding our scope of products and services through selective acquisitions,1
exploring new connections for the pipeline system both upstream and downstream of the pipeline,1
"fluctuations in monetary exchange rates, currency and investment controls",1
Fly Profitably,1
Focus on aviation and expeditionary services through two business segments: Aviation Services and Expeditionary Services,1
"Focus on broadband connectivity products, IP cable equipment, DSL equipment, OSS software, systems integration services, and products to extend the coverage of existing wireless networks",1
focus on cost management and product line rationalization to maximize earnings potential,1
focus on customer-centric innovation by developing microprocessor and Flash memory products,1
focus on developing or acquiring differentiated technologies in higher growth segments of those markets,1
Focus on new product offerings for the fiber-to-the-X initiative being pursued by several communication service providers and the growing acceptance of our Digivance wireless coverage solution and our TrueNet® and CopperTen™ enterprise solutions,1
