Reason,Count
a competitive and more agile R&D organization that can accelerate the pipeline,2
a decline in activity and lower prices for drilling services in Brazil,1
a more fit for purpose asset base,1
Abandonment of a previously capitalized in-process research and development project,1
Accelerate profitable growth in ALS business,1
accelerate revenue growth for certain industry groups,1
Accelerated depreciation,1
accelerating integration projects related to recent acquisitions,1
Accelerating organic growth go-to-market strategies,1
Achieve a flexible and competitive cost structure,1
achieve a targeted low double-digit operating margin by 2016,1
Achieve cost competitiveness through economic concessions from key stakeholders,1
achieve cost synergies from combined operations,1
achieve greater synergies from acquisitions,4
Achieve long-term goals of mid-single-digit Constant $ revenue growth and low double-digit operating margin,1
achieve longer-term profit growth,1
Achieve more efficient operations,1
achieve operational efficiencies,1
achieve organizational changes,1
achieve planned synergies from recently acquired businesses,2
achieve sustained profitability,1
achieving acquisition-related synergies,2
Acquisition adjustments,1
Acquisition of Bard,2
acquisition of CareFusion,1
acquisition of Kettle Creations,1
Acquisitions of Cybex International,1
Actions in Europe geographic region to better align expenses to revenue and gross margin profile,1
actions taken in connection with recent divestitures,1
Adapt to market environment,1
Address cost structure,2
address current and expected future economic conditions,1
address current market conditions,1
address economic changes within specific marketplaces,2
Address its cost structure in response to weaker sales forecasts across the Company,1
address structural complexities within certain geographies,1
address the state of end-markets served,1
address under-performance in certain technology services operations,1
adjust to changing customer demands,1
adjust worldwide workforce due to revenue declines in COM/Other Output Services,1
administrative and other expenses,1
adopt zero-based budgeting,1
aggressive capacity reductions,1
Aggressive cost reductions,3
aircraft lenders/lessors and financiers in a necessary time frame,2
airport facilities and uniforms,1
Alere into the Diagnostic Products segment,1
Align Applied’s cost structure with prevailing market conditions due to the industry downturn at the time,1
Align business operations to better support specific industries and develop custom client solutions,2
Align business size with expected demand,1
align business with current market expectations,1
align businesses to reflect rapidly declining economic conditions,1
align capacity with expected demand,1
align client service operations with platform simplification strategy,1
Align cost structure,1
Align cost structure and infrastructure,1
Align cost structure to industry conditions,1
Align cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,5
Align cost structure with business environment,2
Align cost structure with current market conditions,1
Align cost structure with market conditions,1
Align cost structure with prevailing market conditions due to an industry downturn,1
Align cost structure with slower economy,1
align costs with lower levels of demand,1
Align field labor resources with where customers want to shop to optimize the customer experience,1
align global workforce with long-term strategic plan,1
Align its businesses with a focus on its core competencies,1
align its cost structure with significant changes taking place in the domestic markets,1
Align portfolio with consumer-led premiumization trends and growing segments of the Wine and Spirits and Beer markets,1
Align resources with strategic growth opportunities,1
align structure with current business environment,1
align the company’s workforce and facility structures to its overall business plan,1
align with dual strategy,1
Align with the way we manage our business operations,1
align workforce with expected size of the business,1
aligning costs and capacities with marketplace conditions,1
aligning employee rewards to performance at the business unit level.,1
aligning resources with the needs of each segment.,1
alignment of labor union contracts,1
alignment of real estate footprint with reduced headcount,1
alignment of the Company’s structure with its current business environment,1
and acquisition of GCA.,1
and administrative expenses,1
and administrative structure,1
and business information services locations,1
and business operations,1
and close warehouse and office facilities,2
and delivery systems.,1
and discontinue several non-strategic businesses,1
and distribution operations,1
and Equipment/Supplies product lines.,1
and established pharmaceutical businesses,1
and human resources efficiency,1
and improve efficiencies in Abbott's core diagnostic business.,1
and improve margin profile,1
and more aggressively rationalize capacity across its manufacturing platform.,1
and product line development resources,1
and re-imagining manufacturing,1
and services with the demands of the company's suppliers and customers.,1
and sourcing of materials,1
and South Pacific subsidiaries.,1
and technology functions,1
and the sales and marketing organizations,2
and to align costs with the current business environment due to COVID-19 impacts.,1
and to be more productive,1
and to create a strong foundation for continued growth and enhanced value for shareholders.,1
and to eliminate duplicative cost structures.,1
and to further invest in strategic priority areas related to digital infrastructure,1
and to support new business strategies,1
and transferred operations to a different facility.,1
as well as make certain strategic shifts in the workforce necessary to achieve the company's long-term vision.,1
as well as realigning certain functions,1
as well as the permanent shutdown of refining operations at its Port Reading facility,1
Asia branches,1
assess opportunities for improved operational effectiveness and efficiency,1
asset impairment and other shutdown costs,1
asset impairment charges associated with restructuring actions,1
asset impairments,1
asset write-offs,1
associated legal expenses,1
balance workforce in response to workload requirements,1
balancing segment workforce in response to workload requirements,1
be more efficient in its distribution centers,1
become a more productive and competitive biopharmaceutical company,1
better align business with macro-economic and market conditions,1
better align businesses with the contracting global economy,1
better align cost structure with financial results,1
better align cost structures and capacity,1
better align expenses to revenue and gross margin profile,2
Better align global workforce with long-term strategic plan,1
better align operations,2
better align resources around priorities and business outlook,4
better align workforce with workload requirements,1
better alignment of expenses with revenues,12
better deliver end-to-end services to clients,1
better evaluate sales results,1
better leverage core competencies across the business,3
better position the Company for current market conditions and longer-term profitable growth,1
better position the company to respond to market pressures or unfavorable economic conditions,1
better product mix,1
better serve customers,1
better utilize overall capacity,5
broaden biologics capabilities,1
Broaden product portfolio,1
Broadening offering to the marketplace,1
brought to market quickly and merchandised in a manner that enhances the shopping experience,1
budget conscious customers purchasing lower margin units,1
build the capabilities to sustain these cost reductions for the long term.,1
build the framework for future growth,1
build upon the strength of its profitable Lees Carpets business,1
Building a stronger,1
Business consolidations,1
business document services,1
business reorganization costs in Best Buy Europe,1
business reorganizations,1
business repositioning,3
buy-out certain grape processing and wine storage contracts in Australia,1
California,3
cancel certain R&D programs,1
cancelling certain R&D programs,2
capacity reductions,6
capitalized software write-downs related to a medical CT development program,1
Capture certain synergies,1
Capture certain synergies and cost savings,1
Capture certain synergies and cost savings related to streamlining global operations and sales organization,1
CareFusion acquisition,1
cash flows and liquidity,1
CD/Digital,1
Cease development of beamline implant products,1
Ceasing all manufacturing activities at its facility in Chatsworth,1
ceasing all manufacturing activities at its facility in Chatsworth California,1
centralization and consolidation of many selling and administrative functions.,1
centralization of certain selling and administrative functions,2
centralization of key functional areas,1
centralize accounting,1
centralizing and streamlining certain support functions,2
certain employee termination costs,1
Challenging end market conditions,1
Challenging industry conditions,1
Change of place of incorporation from Delaware to the U.K.,1
changes in fare structures resulting in substantially lower fares for many business and leisure travelers.,1
changes in industry,2
Changes in senior executives,1
changes in the company's organization,1
changes to certain R&D capital projects,1
changing company culture,1
Channel Master and Skyware operations,1
Charges on a leased facility,3
charges stemming from acquisition and integration of Kent Electronics Corporation,1
charges to record impairment in the Company’s Internet-related investments,1
close Knoxville,1
close production facility in Azusa,1
closing of certain facilities,1
closing of certain logistics operations,1
Closing the GnuBIO research program facilities,1
closure of 60 stores in the Retail Operations segment in 2007.,1
closure of a facility that manufactured LNG heat exchangers,1
Closure of California wafer fabrication facility,1
closure of certain manufacturing facilities,1
closure of manufacturing facilities,2
closure of manufacturing facility in Dallas Texas,1
closure of manufacturing facility in Toronto Canada,1
closure of Oakland heavy maintenance base,2
closure of production facility in Azusa,1
closure of redundant facilities,1
closure of the London financial printing manufacturing facility and a portion of the London financial printing customer service center,1
closure of the segment's San Diego facility,1
closure of the Westborough,1
Closure of two production facilities and a distribution center,1
closure of under-performing operations,1
Closure of wafer fabrication facility,1
COM Professional Services,1
combination of CM and AC,1
competing more effectively,1
competitive,2
competitive and more agile R&D organization,1
competitive environment,1
completion of its 2002 restructuring plan,1
completion of its fiscal 2002 restructuring plan,1
concentrate the Architectural Glass segment on premium,1
concessionary agreements with certain lessors,1
conduct a workforce rebalancing to better address faster growing market segments,2
Conduct operations more efficiently,2
conserve liquidity,1
consolidate,2
consolidate administrative functions,1
consolidate and downsize facilities,1
consolidate certain administrative functions to improve efficiencies,1
consolidate certain operations,2
consolidate certain wafer and test facility operations,2
consolidate certain winemaking and packaging operations in Australia,1
consolidate cruiser manufacturing,1
consolidate duplicative facilities,1
consolidate facilities,1
consolidate its Products segment manufacturing facilities,2
consolidate or dispose of certain under-performing and non-core locations,1
consolidate production,1
consolidate real estate through the co-location of business units as well as the disposition of unproductive real estate.,1
consolidate remaining non-mask operations,1
consolidate the Company's fulfillment operations with its digital print facility,1
consolidate the manufacturing of its DC/DC power line to a single factory,1
consolidate the Optical Products group's operations,1
consolidated Applied’s global facilities.,1
consolidating administrative functions,1
consolidating certain administrative functions in Europe,2
Consolidating domestic manufacturing of imaging chemicals,1
consolidating operations,1
consolidating operations and facilities,1
consolidation,1
consolidation of ball plant facilities,1
consolidation of cellular systems software design centers,1
consolidation of certain administrative functions,1
consolidation of certain back office operations,1
consolidation of certain functions,2
consolidation of certain operations,6
consolidation of certain operations into Asia,1
consolidation of certain real estate facilities,1
consolidation of certain spirits production processes in the U.S.,1
consolidation of certain wafer and test facility operations,1
consolidation of certain west coast production processes in the U.S.,1
consolidation of duplicative facilities,1
consolidation of facilities,9
consolidation of manufacturing and certain support activities,1
Consolidation of manufacturing and distribution facilities,2
Consolidation of manufacturing facilities,2
consolidation of manufacturing operations,2
consolidation of offices in the globalization segment's Italian operations,1
consolidation of operations from the Juarez plant into the expanded Matamoros facility.,1
consolidation of ready-to-eat production,2
Consolidation of Subscription Fulfillment Services business operations from three locations into one existing location,1
consolidation of the Company's fulfillment operations with its digital print facility,1
consolidation of the worldwide manufacturing network,1
consolidation of unproductive and duplicate facilities,1
consolidation of warehouse and office facilities,1
consolidation of worldwide manufacturing operations,3
consolidation of yacht and motoryacht production,1
construction,2
Continued decline of legacy services revenues,1
continuing shift to cloud and mobile computing,1
continuing strategic product line rationalization programs as part of simplification strategy,1
contract termination dispute,1
contracting out of related heavy maintenance,1
contracting out of the Company's Fleet Service,1
Contracting out of the Company's fleet service and ground support equipment and facility maintenance functions,1
Contracting out ramp services at the Seattle-Tacoma International Airport,1
"Contractor-Operated business (""COCO"") business",1
control costs,2
control inventory levels,1
Conversion of restaurant operating entities to limited liability companies,1
corporate structure and headcount,2
cost containment and cost reduction actions,1
cost containment efforts,2
cost containment measures,1
cost control,1
cost effectiveness,1
cost efficiency,1
Cost reduction,9
cost reduction actions,1
Cost reduction actions in response to the COVID-19 pandemic,1
Cost reduction actions to reduce fixed cost structure,1
cost reduction initiatives,8
cost reduction initiatives to align cost structure with the then-current business environment,1
cost reductions,4
cost reductions including implementing voluntary leave and early retirement programs,1
cost savings,10
Cost savings actions,3
Cost savings from increased outsourcing,1
Cost savings from productivity improvement initiatives across all segments and corporate,1
cost savings initiatives in manufacturing and supply chain,1
cost savings related to streamlining global operations,1
Cost-cutting measure to eliminate losses,1
Cost-reduction initiatives emerging from the COVID-19 pandemic,1
costs to close facilities,1
COVID-19 outbreak,1
Create a more cost competitive cost structure,1
Create a more sustainable supply-demand balance,1
create a stronger and more competitive organization,1
create financial flexibility,1
create long-term operational efficiencies,1
create value,1
creating relevant and on-trend products,1
curtail the operations of its Implant group based in Horsham,1
curtailing manufacturing at St. Louis facility,1
customer focus,1
customer service,2
customer success,1
cutbacks in discretionary spending,1
cyclically subdued demand environment,1
debt service charges,1
decision to exit the commodity concentrate product line in the U.S.,1
decision to restructure and integrate the operations of Robert Mondavi,1
decline in average selling prices,1
decline in worldwide economy,1
Declining demand driven by weakness in the North American tire industry,1
decrease operating expenses by streamlining functions and reducing organizational layers,4
decreased Applied’s global workforce,1
decreased demand for electrical products,1
decreased gross profit margins,1
Decreased organic sales,1
deep capacity reductions,2
deepen customer relationships,1
deferral of non-strategic projects,1
Delayering,1
delays in maintenance and capital projects in energy markets,1
deleveraging of store occupancy costs,1
deliver end-to-end services to clients in various areas,1
deliver increased free cash flow and profitability,1
deliver shared services,1
depending on market conditions and subject to customary regulatory approvals. An equally important objective of the transactions was to enhance AIG's capitalization consistent with rating agency requirements in order to complete its restructuring plan and repay the support it has received from the FRBNY and the Department of the Treasury.,1
depressed revenue environment,1
depressed steel industry,1
Deteriorating economy,1
develop a comprehensive restructuring plan,2
develop new businesses,1
developing new capabilities enabled by the cloud,1
development of new cloud computing infrastructure,1
diagnostic,1
digitizing the Company,1
discontinuance of some product lines,1
discontinuation of a medical CT workstation research program,1
discontinuation of certain Vision-Ease product development activities,1
discontinuation of fresh sausage operations at two facilities,2
discontinuation of the variable life and annuity business and consolidation of real estate locations,1
discontinuation or phase-out of certain Vision-Ease product categories,1
discontinue certain product development strategies,1
discontinue certain products,1
discontinue certain Vision-Ease product development activities,1
discontinue or phase-out certain product categories,1
Discontinued marketing of its fully-integrated SunFab production lines but continued to offer individual tools for thin film solar manufacturing.,1
disinvest a portion of Applied’s real estate and facilities portfolio,1
display and promotion of cards,1
Disposition of Iowa facilities,1
disruption in the global financial markets,1
Distribution and supply-chain initiatives,1
distribution center footprint,1
distribution center footprint and business operations,2
distribution modifications,3
Divest Campbell Fresh operating segment and international biscuits and snacks operating segment,1
divest credit card portfolio,1
Divest U.S. generic injectables business,1
Divestiture of AMR Eagle for the long-term best interests of the Company and its shareholders,1
Divestiture of businesses,1
Divestiture of Latin American and ILEC Businesses,1
divestiture of non-core businesses.,1
divestiture of the Sealine boat brand,1
divestiture of U.S. and Canada based CheckView business,1
divestiture strategy,1
divestitures of certain operations,1
divestitures of low-margin businesses and product lines,1
divestment of non-core businesses,1
Downsize,2
Downsizing and streamlining of worldwide operations,1
downsizing of its manufacturing facility and the consolidation of its warehouse and office facilities in Chatsworth California,1
downsizing of manufacturing facility,1
downturn in global economic activity,1
downturn in oil and gas markets due to COVID-19,1
downturn in the plastics processing and plastics machinery industries,1
Downturn in the U.S. housing products market,1
Drive continued success in the near- and long-term,1
Drive continued success in the near- and long-term through a more focused investment in commercial opportunities for key brands and markets,1
drive costs out,1
drive efficiencies,1
drive future growth,1
Drive long-term,1
Drive long-term profitable growth through an industry-based go-to-market approach,3
drive operational efficiency,11
drive sales growth by providing stronger management oversight,1
drive the growth of the business,1
driving efficiencies within the overall corporate structure,1
driving greater efficiency and productivity in selling,1
early payment of private placement notes,1
effect on sales volume and operating results,1
effective revenue management,1
efficiency and cost saving measures,2
efficiency improvement actions,1
efficient sourcing of products or components from third party suppliers,1
eliminate duplicate operations,1
eliminate duplicative facilities,1
eliminate duplicative processes and personnel functions,1
eliminate excess capacity,3
eliminate inefficiencies in the deployment of IT resources,1
eliminate non-essential discretionary spending,1
eliminate or relocate global workforce,2
eliminate organizational layers,1
eliminate redundancies,1
eliminate the Company's separate technology segment,1
eliminate under-performing operations,2
eliminate unprofitable flying,1
eliminating certain positions,1
eliminating discretionary spending,1
eliminating remaining costs in the Wine and Spirits segment from the brands they are selling,1
elimination of certain duplicative executive and support functions,1
elimination of certain duplicative IT platforms,1
elimination of certain positions,2
elimination of duplicate costs,1
elimination of duplicate operations,1
elimination of duplicative processes and personnel functions,1
elimination of employee and contractor positions due to reduced sales forecasts,1
Elimination of higher cost,1
elimination of professional fees and other services,2
elimination of redundancies between the segment and corporate functions,1
elimination or reduction of certain corporate-level costs,1
employee and facilities related costs,1
