Reason,Count
18-Sep-14,1
achieve a diversified mix of investments,1
achieve greater operating efficiencies in its Diagnostics and International segments,1
"Achieving sales growth, technological excellence and manufacturing capability",1
achieving sustained profitability,1
acquisition of St. Jude Medical into medical Devices and Alere Inc. into Diagnositc Products segment,1
Actively managing cost structure,1
address faster growing market segments,1
Adjust to economic slowdown and credit crisis,2
advance diversity and inclusion,1
advancing our emerging industrial water treatment position,1
align Abbott's global manufacturing operations with its scientific focus,1
Align Abbott's global manufacturing operations with its scientific focus and to achieve greater operating efficiencies in its Diagnostic and International segments,1
Align costs with the anticipated lower levels of demand,1
align global manufacturing operations with scientific focus,1
align its businesses into two segments,1
align its manufacturing network for COVID-19 diagnostic tests with changes,1
align its manufacturing network for COVID-19 diagnostic tests with changes in the second quarter in projected testing demand driven by several factors,2
align manufacturing network for COVID-19 diagnostic tests,1
align ongoing network restoration with the continued return of demand,1
align our cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,1
align the cost structure of the business with the Company's strategy and near-term revenue outlook,2
alignment of our real estate footprint with the reduced headcount,1
and the formation and integration of new business units,1
Be a Good Place for Good People,1
be more responsive to customers’ demands,7
Become cost leader within the industry,1
become more competitive,1
better align businesses to reflect rapidly declining economic conditions around the world,2
better align cost structure with current market conditions,1
better align our business to the changing computing landscape,4
better align our cost structure with the slower economy,6
better align resources around priorities and business outlook,10
better align with expected size of business,1
Better execute business strategy,1
Building customer relationships with multiple international commercial and government customers,1
"business restructure and reduce costs in Polyurethan Intermediates, Electronics, and European Merchant businesses",1
business restructuring/reorganizing,1
Capitalizing on opportunities in both commercial and government markets,1
changes to our practices and contracts with providers of distribution systems to provide additional content flexibility,1
co-development and in-licensing and expanding the geographic reach of its current product line with new registrations in new jurisdictions,1
Commercial market recovery,1
commercial practices related to ticket distribution channels,1
conduct a workforce rebalancing,1
Conduct operations more efficiently,1
conduct workforce rebalancing to better address faster growing market segments,3
consolidate certain segment corporate headquarters,1
consolidate certain segment corproate headquearters and other office locations,1
consolidate three Test Solutions businesses in the UK,1
consolidation of existing manufacturing activity,1
consolidation of three U.S. regions into two regions in order to continue to centralize and streamline operational structure,1
continue to seek business growth in product areas and geographies,1
"continued significant investments related to modernizing our fleet, improving the experience of our customers and updating our facilities",1
continued slowdown in the semiconductor industry,4
continued slowdown in the semiconductor industry and a resulting decline in revenues,1
continued to create shareholder value,1
Continuing to navigate the unprecedented decline in commercial passenger flight hours,1
Continuing to strengthen and expand our product offerings and channels in domestic market of the U.S.,2
Continuing to strengthen and expand presence domestically,1
controlling and reducing costs,1
Controlling costs,2
correspond with changes to management structure and internal mangement reporting,1
cost control,2
cost improvement actions despite weakness in the worldwide economy and currency headwinds,1
cost reduction,3
cost reductions,1
Cost structure reductions through improved operational efficiencies and economies of scale to compete effectively in a more cost-conscious marketplace,1
COVID-19 pandemic,3
create a more efficient corporate structure,1
create a more sustainable supply-demand balance in the market,2
"create innovative solutions that benefit the environment, enhance sustainability, and address the challenges facing customers, communities, and the world",1
"create value for three most important stakeholders: employees, customers, shareholders",1
current macro-economic conditions,3
De-leveraging its balance sheet with free cash flow,1
decline in revenues,4
decreasing expenditures,1
demand for most merchant products returned to pre-pandemic levels,1
"deploy capital into larger, more complex industrial gas projects",1
deploy resources to solidify the Company's position as a leader in the recovering citrus industry,2
develop and acquire media assets that enable us to offer advertisers a choice of media outlets,1
"Develop key global roles to oversee business development, supply chain, scientific affairs and compliance",1
devote resources to develop advanced manufacturing process technologies,1
Disposal of Generics Business,1
Divide U.S. Human Pharmaceuticals into two separate operational units,1
downsizing of activities,1
drive continuous revenue and cost improvement,1
drive cost synergies primarily within the Industrial Gases-EMEA and the Industrial Gases-Americas segments,1
Drive growth and margin expansion through the recovery in commercial markets from the impact of COVID-19,1
"drive to a sustainable, low-cost structure",1
Driving free cash flow through increased net income,1
Earn Customer Loyalty,1
earnings growth through pricing discipline in our merchant business,1
effects of inflation and competitive pricing pressures.,5
eliminating discretionary spending,3
eliminating unprofitable and non-strategic businesses,1
elimination or reduction of certain corporate-level costs,1
encourage growth in three segments,1
enhance operations in low cost labor markets,3
enhance our competitiveness in core growth areas,3
enhance productivity,2
enhancements to our AAdvantage program,1
enhancing e-commerce solutions with POS partners,1
enhancing manufacturing materials and efficiencies and expanding into lower cost areas,1
enhancing shipment yields through rate and fee initiatives,1
execute our growth strategy,1
"executing three-phase transformation plan designed to restructure, accelerate and transform AMD",1
exiting or restructuring several underperforming contracts,3
"expand our network has been to initiate or expand our commercial relationships with other airlines, such as by entering into global alliance, joint business and codeshare relationships",1
expanding our scope of products and services through selective acquisitions,1
Expanding services to global commerical aviation and government and defense markets,1
exploring new connections for the pipeline system both upstream and downstream of the pipeline,1
facility consolidations,3
favorable impact of litigation-related proceeds,2
"fluctuations in monetary exchange rates, currency and investment controls",1
Fly Profitably,1
Focus business on strategic and core operations,3
Focus on aviation and expeditionary services through two business segments: Aviation Services and Expeditionary Services,1
Focus on best-class aviation and expenditionary services through two business segments: Aviation Services and Expenditionary Services,1
"Focus on broadband connectivity products, IP cable equipment, DSL equipment, OSS software, systems integration services, and products to extend the coverage of existing wireless networks",1
Focus on core services offerings and prioritize its efforts in its principal business,1
focus on cost management and product line rationalization to maximize earnings potential,1
focus on customer-centric innovation by developing microprocessor and Flash memory products,1
focus on developing or acquiring differentiated technologies in higher growth segments of those markets,1
Focus on new product offerings for the fiber-to-the-X initiative being pursued by several communication service providers and the growing acceptance of our Digivance wireless coverage solution and our TrueNet® and CopperTen™ enterprise solutions,1
"Focus on new product offerings, such as OmniReachtm FTTX solutions being deployed by several communications service providers and the growing acceptance of our Digivance® wireless coverage solution and TrueNet® and CopperTentm enterprise solutions",1
focus on offering our customers price competitive solutions with high functionality and quality as well as world-class customer support,1
focus our capital deployment on building out our leading industrial air solutions portfolio,1
focus our capital on building out our leading air quality and water treatment positions,1
Focus portfolio on core services offerings,1
focus resources on growth projects,2
focused on our base business,1
focused ongoing efforts to simplify business,2
fuel expense and record high oil prices,1
funding new growth opportunities,1
further align its cost structure to industry conditions,1
further optimizing our cost structure in Europe,2
Further reduce costs,1
further segmentation of the classes of service we offer,1
gain market share in primary markets,1
Gaining market share in areas of strategic focus,2
Generate more revenue,1
growing new Ground Delivery Service (GDS),1
