Reason,Count
Achieve long-term best interests of the Company and its shareholders.,2
Adapting to market changes,2
Address underperforming segments,2
Align cost structure to industry conditions,2
Align global manufacturing operations with scientific focus,2
Align the Diagnostic Products manufacturing network for COVID-19 diagnostic tests with changes in the second quarter in projected testing demand,2
Align with strategic objectives,2
Aligning cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory,2
Aligning resources around priorities and business outlook,2
Asset impairment charges related to the COCO business.,2
Asset impairmnet,2
be more responsive to customers’ demands.,1
Better align cost structure with economy,4
Better align resources around priorities and business outlook,2
Better position for profitable growth in market segments with sustainable competitive advantage,2
Better position the Company in an uncertain business environment resulting from the COVID-19 pandemic.,1
Capacity reductions due to high fuel costs and industry challenges.,2
Changing profile of the Company since the divestiture of the Generics Business,2
Completion of certain long-term customer contracts.,2
Conduct a workforce rebalancing,2
Conduct a workforce reduction to better address faster-growing market segments,2
Conduct operations more efficiently,3
Conduct workforce rebalancing to better address faster growing market segments,2
Consolidation of facilities,2
Continued access to cost-competitive regional feed.,2
Contract terminations,2
Cost competitiveness,2
Cost control,2
Cost management and reduction,1
Cost reduction,24
Cost reductions,2
Cost savings,10
Decline in earnings from joint ventures due to increased depreciation expense and fewer sales of aircraft.,2
Declining sales and income,1
Decrease costs,2
"Decreased demand following the events of September 11, 2001.",2
Diversifying offerings in our transportation segment,1
Divest or close non-strategic product lines to enhance profitability and market leadership,2
Divestiture of non-core businesses,2
Efficiency,6
Eliminating discretionary spending,2
Enhance operational outcomes,2
Exit from certain product lines,2
Exiting or restructuring underperforming contracts,2
Expense controls,2
Expense management,2
Facility closures,2
Facility consolidations,2
Facility exit cost adjustments,2
Focus on core aviation services offering,2
Focus on core businesses,2
Focus on core operations and products,3
Focus on core services offerings,2
Focus on free cash flow,2
Further align its cost structure to industry conditions resulting from weak customer demand and industry-wide excess inventory.,2
Gain greater focus in key areas of the business,2
Gain operational efficiencies,2
Generate additional revenues,2
Goodwill and other asset impairment charges in fiscal 2018.,2
Growth,2
Impairment charges related to rotable assets due to discontinued use of certain aircraft models,2
Implement more competitive cost structure,4
Improve cost competitiveness and profitability,6
Improve cost structure,3
Improve cost structure and strengthen competitiveness in core growth areas,2
Improve efficiencies,7
Improve efficiencies (in various Abbott businesses including nutritional and established pharmaceuticals businesses),2
"Improve efficiencies in various Abbott businesses including the nutritional, established pharmaceuticals and vascular businesses",8
Improve gross profit percentages,2
Improve gross profit percentages and income from continuing operations,2
Improve operating cost structure.,2
Improve operating efficiencies,3
Improve operating efficiency.,2
Improve operational efficiency,4
Improved competitiveness,2
Improving efficiencies in Abbott's core diagnostic business,2
Improving operating efficiencies,2
Increase cost competitiveness,2
Increase efficiency,2
Increase operating efficiencies in in Diagnostics and International segments,2
Increase operating income,2
Increase operational efficiency,2
Increase profitability,4
Increased profitability,2
Increasing operating flexibility,2
Leverage economies of scale,4
Limited growth,1
Liquidation of AUL (Acme United Limited),2
Loss on investment due to Mesa equity shares received in connection with a contract restructuring.,2
Lower cost structure,2
Lower costs,2
Mitigate decreases in national advertising revenue due to the slowing national economy,1
Narrow focus of business,2
Narrow the strategic focus of the business.,2
Operating changes,2
Operational Efficiency,6
Position the company for profitable growth in critical market segments for broadband networks and services,2
Product line exits,2
Profitability,2
Realignment of global manufacturing operations and selected domestic and international commercial operations,1
Realignment of production capabilities.,3
Reduce cost structure,6
Reduce costs,34
Reduce costs (in certain Solvay sites and functions),1
Reduce costs and improve efficiencies in various business segments.,2
"Reduce costs in medical devices, diagnostic, and established pharmaceutical businesses",2
Reduce fixed and variable cost base,2
Reduce operating costs,4
Reduce operating expenses,2
Reduce operating expenses and capital expenditures.,2
Reduce operating expenses and capital spending,2
Reduce overall costs,4
Reduce production costs,1
Reduction in administrative expenses,2
Reduction in earnings from unconsolidated joint ventures,2
Reduction in net interest expense due to a decrease in average outstanding borrowings.,2
"Reduction of sales and gross profit in the Aviation Supply Chain and Maintenance, Repair and Overhaul segments",2
Refine strategic focus by divesting or ceasing unprofitable or non-strategic product lines and businesses,2
Refocus company's portfolio,1
"Renew commitment to key future growth areas: optics, IP cable, DSL, and software",2
Reorganization,4
Reorganization and refocus,2
Reorganization of operations in light of the economic downturn,2
Reorganize operations,1
Respond to changes in market,2
Respond to changes in markets,2
Respond to market changes,2
Responding to cyclical demand,2
Response to Global Market Conditions,3
Response to slowdowns or shifts in market demand for products and services,2
Response to the overall decline in the electronics industry since fiscal 2002.,2
Restore company to industry leadership,2
"Restore it to industry leadership, profitability, and growth",2
Serve customers in a cost-effective manner,2
Severance,2
Significantly reduce costs,2
Simplify business,2
Simplifying the business,2
Slowdown in demand,2
Slowdown in industry demand,2
Strategic changes,2
Strategic repositioning,2
Strategic repositioning of operations.,2
Streamline global manufacturing operations,4
Streamline manufacturing and logistics operations.,2
Streamline manufacturing operation,2
Streamline operations,19
Streamlined focus on what customers’ truly value and would pay for,2
Strengthen competitive positioning,4
Strengthen competitiveness in core growth areas,1
Sustain and improve operating performance given the highly competitive industry,2
Sustain and improve operating performance in a highly competitive industry,2
Sustain and improve profitability in a highly competitive industry,2
Sustain ongoing operations,2
Termination and restructuring of of commercial power by-the-hour customer contracts,2
Termination of certain IT implementation activities,2
To be more responsive to customers' demands while increasing efficiencies.,1
To leverage full breadth of operational expertise in Aviation Services,1
To streamline the Company's structure.,1
Transform company,2
