Reason,Count
18-Sep-14,1
achieving sustained profitability,1
acquisition of St. Jude Medical into medical Devices and Alere Inc. into Diagnositc Products segment,1
Actively managing cost structure,1
advance diversity and inclusion,1
align Abbott's global manufacturing operations with its scientific focus,1
Align Abbott's global manufacturing operations with its scientific focus and to achieve greater operating efficiencies in its Diagnostic and International segments,1
align manufacturing network for COVID-19 diagnostic tests,1
align manufacturing network for COVID-19 diagnostic tests with changes in the second quarter in projected testing demand driven by several factors,1
align the cost structure of the business with the Company's strategy and near-term revenue outlook,2
Become cost leader within the industry,1
become more competitive,1
better align business to changing computing landscape,1
better align businesses to reflect rapidly declining economic conditions around the world,2
better align cost structure with current market conditions,1
better align cost structure with slower economy,1
better align resources around priorities and business outlook,4
better align with expected size of business,1
Better execute business strategy,1
"business restructure and reduce costs in Polyurethan Intermediates, Electronics, and European Merchant businesses",1
business restructuring/reorganizing,1
Capitalizing on opportunities in both commercial and government markets,1
Conduct operations more efficiently,1
conduct workforce rebalancing to better address faster growing market segments,2
consolidate certain segment corporate headquarters,1
consolidate certain segment corproate headquearters and other office locations,1
consolidate three Test Solutions businesses in the UK,1
Continuing to navigate the unprecedented decline in commercial passenger flight hours,1
Continuing to strengthen and expand our product offerings and channels in domestic market of the U.S.,2
Continuing to strengthen and expand presence domestically,1
controlling and reducing costs,1
Controlling costs,2
correspond with changes to management structure and internal mangement reporting,1
cost control,2
cost reduction,3
cost reductions,1
COVID-19 pandemic,2
"create innovative solutions that benefit the environment, enhance sustainability, and address the challenges facing customers, communities, and the world",1
Create more sustainable supply-demand balance in market,1
"create value for three most important stakeholders: employees, customers, shareholders",1
De-leveraging its balance sheet with free cash flow,1
Disposal of Generics Business,1
drive continuous revenue and cost improvement,1
drive cost synergies primarily within the Industrial Gases-EMEA and the Industrial Gases-Americas segments,1
Drive growth and margin expansion through the recovery in commercial markets from the impact of COVID-19,1
encourage growth in three segments,1
enhance competitiveness in core growth areas,1
enhance productivity,2
enhancing e-commerce solutions with POS partners,1
Expanding services to global commerical aviation and government and defense markets,1
Focus business on strategic and core operations,3
Focus on best-class aviation and expenditionary services through two business segments: Aviation Services and Expenditionary Services,1
Focus on core services offerings and prioritize its efforts in its principal business,1
focus resources on growth projects,2
funding new growth opportunities,1
further align its cost structure to industry conditions,1
Further reduce costs,1
gain market share in primary markets,1
Generate more revenue,1
Growth and execution across all activities in commercial and government markets,1
Help company manage through near-term challenges (rapidly deterioriting economy and very high fuel prices),1
help members live healthier lives,1
High oil prices,1
implement more competitive cost structure,2
improve cost structrue,1
improve cost structure,1
Improve dependability and on-time performance,1
improve efficiences,1
improve efficiencies,3
improve efficiencies across various functional areas,2
improve efficiencies and quality,1
improve efficiencies in Abbott's core diagnostic business,2
improve efficiencies in core diagnostic business,1
improve efficiencies in various Abbott businesses,2
"improve efficiencies in various Abbott businesses including nutritional, established pharmaceuticals and vascular businesses",3
Improve financial results without compromising operational performance,1
Improve future operations,4
Improve future operations of its operating segments,1
Improve gross profit percentages and income from continuing operations,2
improve operating efficiencies,2
Improve operating efficiency,1
Improve operating performanace,1
Improve operating performance,9
improve productivity,1
improve the Company's cost structure,2
improving effectiveness and efficiency,2
Improving financial position,1
Improving funded position,1
Improving operating performance,1
increase focus on what customer's truly value and are prepared to pay for,1
increase operating income,1
Increase operational efficiency,1
increased union and employee involvement in the operation of the Company,1
Increasing revenue and profitability in developing markets where environmental awareness and associated regulatory standards are increasing,1
Increasing revenues and profitability globally,3
Increasing revenues and profitability in developing markets where environmental awareness and associated regulatory standards are increasing,1
integration of acquisitions of St. Jude Medical Inc into Medical devices segment and Alere Inc. to Diagnostic Products segment,1
Integration of acquistions of St.Jude Medical into the Cardiovascular and Neuromodulation Products segment and Alere into the Diagnostic Products,1
integration of the acquisitions of St. Jude Medical into the cardivascular and neuromodulation segment and Alere into the diagnostic segment,1
integration of the acquisitions of St. Jude medical into the Medical Devices segment and Alere into the Diagnostic Products segment,2
"integration of the acquisitions of St. Jude Medical into the Medical Devices segment, and Alere Inc. into the Diagnostic Products segment",2
integration of the acquisitions of St.Jude Medical into the cardiovascular and neuromodulation seegment and Alere into the diagnostic segment,1
integration of the acquistiation of St. Jude Medical into the Cardiovascular and Neuromodulation Products segment and Alere into Diagnostic Product segment,1
investing in the business,2
leverage economies of scale,10
liquidating Acme United Limited (AUL),1
liquidation procedures for Acme United Limited (AUL) a subsidary located in the UK,1
Long-term success,1
lower cost structure,2
lower costs,2
Manage business during unprecendented time of COVID-10 pandemic,1
Manage through near-term challenges while positioning itself for long-term success,1
management reorganization,2
Managing cost structure,2
Managing through the COVID-19 pandemic to ensure the safety of the team,1
Mitigate effects of COVID-19 on business,1
Mitigate the effects of COVID-19 pandemic on business,2
